region	organism	gcf	region_bp	core_bp	core_bp_after_trim	extension_bp	extending_profiles
JANFMY010000003.1.region001.gbk	Erwinia persicina	10	39698	19698	19698	0	
JANFMX010000007.1.region001.gbk	Erwinia persicina	10	39698	19698	19698	0	
CP082904.1.region001.gbk	Mixta hanseatica	11	31874	11874	11874	0	
JAVAXU010000005.1.region001.gbk	Pantoea sp. BS_8	11	22668	11869	11869	0	
JASCYM010000001.1.region001.gbk	Pantoea stewartii	11	31869	11869	11869	0	
JABEAG010000006.1.region001.gbk	Pantoea ananatis	12	14343	1551	1551	0	
JALKIW010000013.1.region001.gbk	Pantoea ananatis	12	14343	1551	1551	0	
JMJL01000004.1.region001.gbk	Pantoea ananatis BD442	12	21551	1551	1551	0	
JARNMU010000002.1.region001.gbk	Pantoea ananatis	12	21551	1551	1551	0	
JRXF01000012.1.region001.gbk	Winslowiella iniecta	13	34630	14630	14630	0	
JRXE01000010.1.region001.gbk	Winslowiella iniecta	13	34630	14630	14630	0	
JQNE01000001.1.region001.gbk	Erwinia sp. 9145	14	45527	25527	25527	0	
CALNWY010000004.1.region001.gbk	Mixta sp. Marseille-Q2659	16	20633	633	633	0	
JCAKJO010000002.1.region001.gbk	Pantoea agglomerans	18	24682	4682	4682	0	
CP022427.1.region001.gbk	Pantoea ananatis	21	22090	2090	2090	0	
